"NQUEST"	"numcompfam"	"NCOMP"	"nord"	"SEX"	"PARENT"	"NASC"	"ANASC"	"CIT"	"ANINGR"	"MOTIV"	"STACIV"	"STUDIO"	"TIPOLAU"	"VOTOEDU"	"SUEDU"	"SELODE"	"ANNOEDU"	"TIPODIP"	"UNIVER"	"PRESNORD"	"NORDP"	"MOTENT"	"ANNOENUS"	"B01"	"APQUAL2"	"ASNONOC2"	"NACE2"	"NESPLAV"	"EXLAV"	"ETALAV"	"DISLAV"	"DISANN1"	"DISANN2"	"CONTRIB"	"ACONTRIB"	"FCONTRIB"	"OCCNOW"	"PROBLAV1"	"CERC2"	"PROBLAV2"	"SALMIN"	"SMARTW"	"SMARTWA"	"SMARTWB"	"ETAPEN"	"COPPU"	"PREVCOM"	"COPPIP"	"B16"	"B17A"	"B17B"	"B18"	"B19A"	"B19B"	"B19C"	"ATTIVP"	"ISCO"	"NACE"	"ETALAV2"	"MISCOVID1"	"MISCOVID2"	"MISCOVIDV1"	"ETA"	"NASCREG"	"NASCAREA"	"IREG"	"PARENTP"	"smartwa1"	"CLETA5"	"QUAL"	"Q"	"SETT"	"CFRED"	"PERC"	"PERL"	"NPERL"	"NPERC"	"AREA3"	"AREA5"	"ACOM4C"	"ACOM5"	"PESOFIT"	"PESOFIT2"	"y.hh"	"y.fam"	"y.nhh"	"GODABIT"	"QUOPRO"	"VALABIT"	"y.rhh"	"NW"	"NE"	"N"	"SO"	"IS"	"S"
945872	4	4	1	1	1	1	1965	1	NA	NA	1	3	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	1	NA	NA	1	NA	40	2	NA	NA	1	10	0	1	100	2	NA	NA	2	NA	NA	75	20	4	NA	1	2	2	2	2	2	2	NA	9411	9	NA	2	2	NA	55	3	1	19	NA	NA	4	1	1	4	1	1	1	2	2	3	5	2	4	0.2925355185	1184.7052622	15000	30000	15000	5	0	80000	50	FALSE	FALSE	0	FALSE	TRUE	1
945886	3	3	1	1	1	1	1960	1	NA	NA	1	3	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	2	NA	NA	1	NA	16	2	NA	NA	1	43	0	2	NA	2	NA	NA	NA	NA	NA	61	100	2	NA	1	2	2	2	2	2	2	NA	110	14	NA	2	2	NA	60	19	3	19	NA	NA	4	2	1	4	1	1	1	2	2	3	5	2	4	0.2519637119	1020.3982644	34000	54000	20000	1	0	75000	62.962962962963	FALSE	FALSE	0	FALSE	TRUE	1
945922	1	1	1	2	1	1	1928	1	NA	NA	4	1	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	2	16	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	1	2	2	2	NA	0	NA	NA	NA	NA	NA	92	19	3	19	NA	NA	5	6	3	5	1	1	0	0	1	3	5	2	4	0.4201657011	1701.5797591	7200	7200	0	1	0	50000	100	FALSE	FALSE	0	FALSE	TRUE	1
945946	1	1	1	2	1	1	1968	1	NA	NA	3	3	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	1	NA	NA	1	NA	46	2	NA	NA	2	NA	NA	1	100	2	NA	NA	2	NA	NA	77	70	3	NA	1	2	2	2	2	2	2	NA	9122	9	NA	2	2	NA	52	19	3	19	NA	NA	3	1	1	4	1	1	1	1	1	3	5	2	4	0.5818559215	2356.3900056	8400	8400	0	2	0	50000	100	FALSE	FALSE	0	FALSE	TRUE	1
945949	1	1	1	1	1	2	1995	2	2019	3	2	2	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	1	NA	NA	6	1	16	1	2	NA	1	3	0	1	100	2	NA	NA	2	NA	NA	70	50	2	NA	1	2	2	2	2	2	2	NA	6114	1	25	2	2	NA	25	NA	NA	19	NA	NA	1	1	1	1	1	1	1	1	1	3	5	2	4	3.648407982	14775.259281	15000	15000	0	5	0	15000	100	FALSE	FALSE	0	FALSE	TRUE	1
945951	3	3	1	1	1	1	1969	1	NA	NA	1	2	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	1	NA	NA	3	1	16	1	5	NA	1	13	0	1	50	2	NA	NA	2	NA	NA	70	10	2	NA	1	2	2	2	2	2	2	NA	7114	3	16	2	2	NA	51	19	3	19	NA	NA	3	1	1	2	1	1	1	2	2	3	5	2	4	0.3646038459	1476.566323	14000	26000	12000	2	0	70000	53.8461538461538	FALSE	FALSE	0	FALSE	TRUE	1
945954	2	2	1	1	1	1	1936	1	NA	NA	1	3	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	2	15	7	3	1	NA	15	2	NA	NA	1	35	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	1	2	2	2	NA	0	NA	NA	NA	NA	NA	84	19	3	19	NA	NA	5	6	3	5	1	1	0	0	2	3	5	2	4	0.2470827519	1000.6314375	18000	30000	12000	1	0	250000	60	FALSE	FALSE	0	FALSE	TRUE	1
945984	4	4	1	1	1	1	1971	1	NA	NA	1	4	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	2	NA	NA	1	NA	33	2	NA	NA	1	17	1	1	100	2	NA	NA	2	NA	NA	65	90	2	NA	1	2	2	2	2	2	2	NA	8331	8	NA	2	2	NA	49	19	3	19	NA	NA	3	2	1	4	1	1	1	1	1	3	5	2	4	0.4136424177	1675.1618793	18000	18000	0	1	0	300000	100	FALSE	FALSE	0	FALSE	TRUE	1
945993	2	2	1	1	1	1	1967	1	NA	NA	1	3	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	1	NA	NA	1	NA	19	2	NA	NA	1	27	0	1	100	2	NA	NA	2	NA	NA	63	70	2	NA	1	2	2	2	1	2	2	NA	4321	3	NA	2	2	NA	53	19	3	19	NA	NA	3	1	1	2	1	1	1	1	1	3	5	2	4	0.5774353937	2338.4878286	9500	9500	0	2	0	85000	100	FALSE	FALSE	0	FALSE	TRUE	1
946015	3	3	1	1	1	1	1951	1	NA	NA	1	7	8	98	110	0	1981	3	NA	1	NA	NA	NA	2	15	4	15	1	NA	29	2	NA	NA	1	37	6	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	1	2	2	2	NA	0	NA	NA	NA	NA	NA	69	19	3	19	NA	NA	5	6	3	5	1	1	0	1	3	3	5	2	4	0.1870208555	757.3938124	18200	45400	27200	1	0	150000	40.0881057268723	FALSE	FALSE	0	FALSE	TRUE	1
946040	3	3	1	1	1	1	1981	1	NA	NA	1	3	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	1	2	NA	NA	1	NA	20	2	NA	NA	1	19	3	1	100	2	NA	NA	2	NA	NA	70	60	2	NA	1	2	2	2	2	2	2	NA	310	15	NA	2	2	NA	39	19	3	19	NA	NA	2	2	1	3	1	1	1	2	2	3	5	2	4	1.6119142205	6527.902215	18200	26200	8000	1	0	190000	69.4656488549618	FALSE	FALSE	0	FALSE	TRUE	1
946048	3	3	1	1	1	1	1965	1	NA	NA	1	7	6	107	110	0	2001	3	NA	1	NA	NA	NA	1	7	NA	NA	1	NA	35	2	NA	NA	1	20	0	1	100	2	NA	NA	1	20	30	67	10	NA	NA	2	1	2	2	2	2	2	NA	2411	14	NA	1	2	1200	55	19	3	19	NA	NA	4	4	2	4	0	1	1	2	2	3	5	3	5	0.2802441357	1134.9278337	0	0	0	1	0	230000	NA	FALSE	FALSE	0	FALSE	TRUE	1
946070	2	2	1	2	1	1	1934	1	NA	NA	1	5	NA	7	10	NA	1952	5	2	1	NA	NA	NA	2	15	3	16	1	NA	20	2	NA	NA	1	39	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	1	2	2	2	NA	0	NA	NA	NA	NA	NA	86	19	3	19	NA	NA	5	6	3	5	0	1	0	0	2	3	5	3	5	0.1635508174	662.34525988	19500	45500	26000	1	0	150000	42.8571428571429	FALSE	FALSE	0	FALSE	TRUE	1
946077	2	2	1	1	1	1	1940	1	NA	NA	1	7	1	96	110	0	1971	3	NA	1	NA	NA	NA	2	16	NA	NA	2	1	26	2	NA	NA	1	35	4	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	1	2	2	2	NA	0	NA	NA	NA	NA	NA	80	19	3	19	NA	NA	5	6	3	5	1	1	0	0	1	3	5	3	5	0.1307190496	529.38373695	31850	31850	0	1	0	250000	100	FALSE	FALSE	0	FALSE	TRUE	1
946078	1	1	1	2	1	1	1948	1	NA	NA	4	2	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	2	16	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	1	2	2	2	NA	0	NA	NA	NA	NA	NA	72	19	3	19	NA	NA	5	6	3	5	1	1	0	0	1	3	5	3	5	0.6206421781	2513.4659138	13000	13000	0	1	0	100000	100	FALSE	FALSE	0	FALSE	TRUE	1
946080	3	3	1	1	1	1	1940	1	NA	NA	1	7	8	110	110	1	1975	2	NA	1	NA	NA	NA	2	15	5	15	1	NA	21	2	NA	NA	1	54	0	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	1	2	2	2	NA	0	NA	NA	NA	NA	NA	80	19	3	19	NA	NA	5	6	3	5	1	1	0	1	3	3	5	3	5	0.1561264458	632.27816879	130000	168460	38460	1	0	320000	77.1696545173928	FALSE	FALSE	0	FALSE	TRUE	1
946081	1	1	1	1	1	1	1944	1	NA	NA	2	2	NA	NA	NA	NA	NA	NA	NA	1	NA	NA	NA	2	16	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	2	2	1	2	2	2	NA	0	NA	NA	NA	NA	NA	76	19	3	19	NA	NA	5	6	3	5	1	1	0	0	1	3	5	3	5	0.8391869237	3398.5246288	6500	6500	0	2	0	50000	100	FALSE	FALSE	0	FALSE	TRUE	1
